technique_id,technique_name,tactics,covered,enforcement_mechanism,airlock_control,testable,test_case,limitations
T1001,Data Obfuscation,command-and-control,No,Data obfuscation. Network-level C2 technique. No file execution.,none,no,N/A.,
T1001.001,Junk Data,command-and-control,No,Junk data. Network.,none,no,N/A.,
T1001.002,Steganography,command-and-control,No,Steganography. Network.,none,no,N/A.,
T1001.003,Protocol or Service Impersonation,command-and-control,No,Protocol impersonation. Network.,none,no,N/A.,
T1003,OS Credential Dumping,credential-access,Yes,"Untrusted dumping tools (mimikatz, secretsdump) blocked by default-deny. Built-in tools usable for credential dumping (procdump, comsvcs.dll via rundll32, reg.exe for SAM export) can be restricted via blocklist metarules: blocklist procdump by original_filename, restrict rundll32 for non-admins, restrict reg.exe for non-admins. Predefined Microsoft Recommended Block Rules covers many credential tools.",default-deny + blocklist-metarule + predefined-blocklist,yes,1) mimikatz.exe -> blocked (untrusted). 2) Blocklist procdump.exe by original_filename. 3) Blocklist metarule: original_filename 'rundll32' AND user NOT admin -> blocks comsvcs.dll MiniDump for non-admins. 4) Import Microsoft Recommended Block Rules.,Admin users exempted from metarule can still use these tools. Credential Guard is complementary control for LSASS protection.
T1003.001,LSASS Memory,credential-access,Yes,"LSASS memory dump tools blocked (mimikatz untrusted, procdump blocklisted). comsvcs.dll MiniDump via rundll32: restrict rundll32 for non-admins via metarule. Task Manager dump requires interactive admin session — outside typical attacker workflow.",default-deny + blocklist-metarule,yes,1) mimikatz -> blocked. 2) Blocklist procdump by original_filename. 3) Metarule: original_filename 'rundll32' AND user NOT admin -> blocks comsvcs.dll abuse. 4) Credential Guard for defense-in-depth.,Admin-exempted users can still dump. Credential Guard is the definitive LSASS control.
T1003.002,Security Account Manager,credential-access,Yes,SAM export via reg.exe: restrict reg.exe for non-admins via blocklist metarule. Standalone SAM tools blocked by default-deny.,default-deny + blocklist-metarule,yes,1) Standalone tool -> blocked. 2) Metarule: original_filename 'reg' AND user NOT admin -> blocks reg save HKLM\SAM.,Admin-exempted users can still use reg.exe.
T1003.003,NTDS,credential-access,Yes,ntdsutil.exe: restrict via blocklist metarule for non-admins. Standalone tools blocked.,default-deny + blocklist-metarule,yes,1) Standalone tool -> blocked. 2) Blocklist ntdsutil.exe for non-admins.,DC-focused. Admin users on DC need ntdsutil for legitimate operations — scope metarule carefully.
T1003.004,LSA Secrets,credential-access,Yes,LSA secrets dump tools blocked. reg.exe restrictable via metarule.,default-deny + blocklist-metarule,yes,Same as T1003.002 — restrict reg.exe for non-admins.,
T1003.005,Cached Domain Credentials,credential-access,No,Cached domain credentials. Accessed via trusted tools/APIs.,none,no,N/A.,
T1003.006,DCSync,credential-access,No,"DCSync. Uses Active Directory replication protocol. No file execution, just network/AD operations.",none,no,N/A.,"If DCSync tool (mimikatz) is untrusted, tool blocked."
T1005,Data from Local System,collection,No,Data from local system. Reading files. Data operation.,none,no,N/A.,"If collection tool is untrusted, blocked."
T1006,Direct Volume Access,defense-evasion,No,Direct volume access. Reads raw disk sectors bypassing file system. Operates inside trusted process using API calls. Airlock doesn't monitor raw disk access.,none,no,N/A.,"If tool performing direct volume access is untrusted, the tool itself is blocked."
T1007,System Service Discovery,discovery,Yes,sc.exe (sc query) restrictable via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist sc.exe for non-admins.,PowerShell Get-Service available if PS trusted.
T1008,Fallback Channels,command-and-control,No,Fallback channels. Network.,none,no,N/A.,
T1010,Application Window Discovery,discovery,No,Application window discovery. API-based enumeration.,none,no,N/A.,
T1011,Exfiltration Over Other Network Medium,exfiltration,No,Exfiltration over other network medium. Network-level data transfer.,none,no,N/A.,"If exfil tool untrusted, blocked."
T1011.001,Exfiltration Over Bluetooth,exfiltration,No,Exfiltration over Bluetooth. Network/hardware.,none,no,N/A.,
T1012,Query Registry,discovery,Yes,reg.exe restrictable via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist reg.exe for non-admins -> prevents reg query.,PowerShell Get-ItemProperty available if PS trusted.
T1014,Rootkit,defense-evasion,Yes,Rootkit as a driver must be trusted to load. Airlock kernel driver intercepts driver loads. MS Recommended Driver Block Rules predefined blocklist covers known malicious drivers.,default-deny (driver load),partial,Untrusted rootkit driver -> blocked at load. Import MS Driver Block Rules for known bad drivers.,Post-load kernel manipulation not caught. Rootkits already in memory are EDR/Secure Boot territory.
T1016,System Network Configuration Discovery,discovery,Yes,"ipconfig.exe, route.exe, arp.exe restrictable via blocklist metarule for non-admins.",blocklist-metarule,yes,"Blocklist ipconfig.exe, route.exe, arp.exe for non-admins.",PowerShell networking cmdlets available if PS trusted. These are aggressive blocks — evaluate operational impact.
